time,y1,y2,y'1,y'2,
20400,9513.7379,3080.388152,-1.944797251,6.006480484,
21000,7700.098181,6380.320368,-4.028203233,4.861442467,
21600,4794.673734,8775.597062,-5.540456657,3.027108221,
22200,1209.420089,9926.595743,-6.267137504,0.7635650927,
22800,-2547.315315,9670.118132,-6.105210848,-1.608242721,
23400,-5942.870914,8042.529782,-5.077636013,-3.752020345,
24000,-8495.796256,5274.603869,-3.330111207,-5.363804946,
24600,-9844.116099,1758.800225,-1.110415206,-6.215064136,
25200,-9796.654307,-2006.380918,1.266724809,-6.185099224,
25800,-8360.140413,-5487.080487,3.464257919,-5.278158886,
26400,-5738.255447,-8189.775603,5.170599384,-3.622836756,
27000,-2302.752327,-9731.255403,6.143809749,-1.45383834,
27600,1459.254399,-9892.955908,6.245899058,0.921297513,
28200,5014.355754,-8651.949859,5.462392229,3.16580405,
28800,7858.479547,-6184.197539,3.904381455,4.961436244,
29400,9588.361968,-2839.597642,1.792774617,6.053594248,
30000,9958.725727,907.6243082,-0.5730268955,6.287422709,
30600,8917.057535,4526.155645,-2.857579832,5.62976746,
31200,6611.053873,7502.93054,-4.736961049,4.173876397,
31800,3367.679351,9415.876794,-5.944696059,2.126178008,
32400,-353.1930945,9993.760786,-6.309542027,-0.2229877942,
33000,-4023.98685,9154.64526,-5.779768022,-2.54053651,
33600,-7124.225882,7017.507078,-4.430489861,-4.497866577,
34200,-9214.332206,3885.367679,-2.453019558,-5.817451263,
34800,-9997.952956,202.3281487,-0.1277394952,-6.312188746,
35400,-9363.979788,-3509.399169,2.215652548,-5.911930982,
36000,-7402.302752,-6723.534336,4.244890725,-4.673429885,
36600,-4391.06493,-8984.350215,5.672252567,-2.772290563,
37200,-757.2249639,-9971.289302,6.295354699,-0.4780725531,
37800,2983.980731,-9544.415068,6.025848456,1.883930608,
38400,6302.092522,-7764.253334,4.901946702,3.97881423,
39000,8726.640594,-4883.210414,3.083005687,5.509548084,
39600,9913.852113,-1309.784821,0.8269301767,6.259091838,
40200,9695.394239,2449.353088,-1.546394454,6.121168871,
40800,8102.241767,5861.201101,-3.700458263,5.115335062,
41400,5360.285264,8441.99869,-5.329839955,3.384205994,
42000,1858.302401,9825.818652,-6.203512078,1.173235717,
42600,-1907.166217,9816.451346,-6.197598047,-1.204085795,
43200,-5402.220758,8415.224946,-5.312936401,-3.410681889,
43800,-8131.30297,5820.817125,-3.674961916,-5.133682797,
44400,-9707.46061,2401.084862,-1.5159204,-6.128786951,
45000,-9907.21278,-1359.093423,0.8580610699,-6.254900107,
45600,-8702.236937,-4926.568003,3.110379419,-5.494140881,
46200,-6263.384698,-7795.512307,4.921681995,-3.954376119,
46800,-2936.45706,-9559.143264,6.035147074,-1.853926628,
47400,806.8261751,-9967.398433,6.292898206,0.5093881843,
48000,4435.710804,-8962.391961,5.658389265,2.800477652,
48600,7435.663022,-6686.622123,4.221586269,4.694491828,
49200,9381.324353,-3462.766723,2.186211241,5.922881441,
49800,9996.822559,252.0688888,-0.1591432176,6.311475072,
50400,9194.887123,3931.164052,-2.481933011,5.805174647,
51000,7089.2232,7052.865688,-4.452813453,4.4757677,
51600,3978.389545,9174.552666,-5.792336526,2.511748738,
52200,303.4663362,9995.394349,-6.310573374,0.1915928991,
52800,-3414.484884,9399.004893,-5.934044016,-2.155728593,
53400,-6648.3017,7469.945416,-4.716135952,-4.197392742,
54000,-8939.466344,4481.734206,-2.82953444,-5.643915219,
54600,-9963.11821,858.064999,-0.5417377191,-6.290195895,
55200,-9574.11532,-2887.267885,1.822871135,-6.044599654,
55800,-7827.613779,-6223.219628,3.929017977,-4.941949199,
56400,-4971.247274,-8676.790913,5.478075581,-3.138587592,
57000,-1410.015489,-9900.093753,6.250405523,-0.8902106205,
57600,2351.140159,-9719.677976,6.136500362,1.484387906,
58200,5778.931366,-8161.124448,5.152510532,3.648517421,
58800,8387.337046,-5445.418008,3.437954391,5.295329428,
59400,9806.515486,-1957.61437,1.235936141,6.191325061,
60000,9835.243623,1807.75631,-1.141323537,6.209462516,
60600,8469.44814,5316.808085,-3.356756759,5.347170113,
61200,5902.783015,8071.99806,-5.096240754,3.726710926,
61800,2499.171633,9682.672211,-6.113136842,1.577847298,
62400,-1258.793338,9920.455601,-6.263260937,-0.7947368001,
63000,-4838.275994,8751.633299,-5.525327181,-3.054636426,
63600,-7731.747158,6341.930769,-4.003966032,-4.881423989,
64200,-9528.946135,3033.015917,-1.91488888,-6.016082174,
64800,-9975.050928,-705.9454596,0.4456973347,-6.297729594,
65400,-9006.809043,-4344.811947,2.74308883,-5.686431906,
66000,-6761.505966,-7367.634428,4.651542104,-4.268864042,
66600,-3557.499664,-9345.81169,5.900460587,-2.246020705,
67200,150.9188825,-9998.86111,6.312762107,0.09528235192,
67800,3837.93888,-9234.187845,5.829987084,2.423075475,
68400,6980.7836,-7160.213707,4.520587422,4.407304563,
69000,9133.834067,-4071.004205,2.570220828,5.766628915,
69600,9991.812664,-404.5734625,0.2554266927,6.308312084,
70200,9433.067964,3319.221111,-2.095583989,5.955549672,
70800,7536.823494,6572.388578,-4.149465135,4.758359301,
71400,4571.944754,8893.667475,-5.61500019,2.8864887,
72000,958.8172071,9953.927344,-6.284393259,0.6053474357,
72600,-2790.259514,9602.835615,-6.062732158,-1.761625083,
73200,-6143.709756,7890.173029,-4.981445864,-3.87881957,
73800,-8626.05312,5058.775303,-3.193848248,-5.446042372,
74400,-9885.322071,1510.101836,-0.9533999469,-6.241079449,
75000,-9742.966857,-2252.686578,1.422229423,-6.151203753,
75600,-8219.1718,-5696.07013,3.596203136,-5.189158617,
76200,-5529.993387,-8331.816917,5.2602769,-3.491350897,
76800,-2056.725968,-9786.208576,6.178504331,-1.298510062,
77400,1708.16137,-9853.029216,6.220691416,1.07844446,
78000,5230.851211,-8522.804445,5.380856515,3.302488049,
78600,8011.866942,-5984.144726,3.778078489,5.058277086,
79200,9656.892745,-2597.002602,1.639612696,6.096861025,
79800,9932.683016,1158.364409,-0.7313311852,6.270980693,
80400,8800.13389,4749.488764,-2.998580776,5.555947937,
81000,6419.827713,7667.190628,-4.840666346,4.053146121,
81600,3129.26433,9497.773673,-5.996401499,1.975655134,
82200,-604.9924871,9981.682428,-6.301916379,-0.3819608659,
82800,-4253.468378,9050.304236,-5.713892514,-2.68541924,
83400,-7298.851722,6835.697736,-4.315704876,-4.608116272,
84000,-9309.342437,3651.868478,-2.305600278,-5.877435794,
84600,-9999.876229,-49.75342906,0.03141173362,-6.313403001,
85200,-9272.543404,-3744.320876,2.363969925,-5.854202793,
85800,-7230.471331,-6907.986995,4.361344563,-4.564944441,
86400,-4163.202177,-9092.180576,5.740331062,-2.628429844,
